timestamp,order_id,instrument,side,amount,price,,,
8:36:04 PM,281,EUR_USD,buy,9129,1.09557,,,
8:42:04 PM,287,EUR_USD,buy,9128,1.09562,,,
8:48:04 PM,293,EUR_USD,buy,9128,1.09567,,,
8:54:05 PM,299,EUR_USD,buy,9127,1.09579,,,
9:00:05 PM,305,EUR_USD,buy,9127,1.09571,,,
9:06:05 PM,311,EUR_USD,buy,9131,1.09526,,,
9:12:05 PM,317,EUR_USD,buy,9130,1.09545,,,
9:18:06 PM,323,EUR_USD,buy,9130,1.09534,,,
9:24:06 PM,329,EUR_USD,buy,9129,1.09553,,,
9:30:06 PM,335,EUR_USD,buy,9128,1.09567,,,
9:36:06 PM,341,EUR_USD,buy,9123,1.09621,,,
9:42:07 PM,347,EUR_USD,buy,9126,1.09582,,,
9:48:07 PM,353,EUR_USD,buy,9125,1.09592,,,
9:54:07 PM,359,EUR_USD,buy,9125,1.09593,,,
Execution Set 3,,,,,,,,
11:00:00 PM,365,EUR_USD,buy,9129,1.09548,,,
11:06:00 PM,371,EUR_USD,buy,9128,1.09561,,,
11:12:01 PM,377,EUR_USD,buy,9128,1.09559,,,
11:18:01 PM,383,EUR_USD,buy,9128,1.09567,,,
11:24:01 PM,389,EUR_USD,buy,9126,1.09582,,,
11:30:01 PM,395,EUR_USD,buy,9126,1.09582,,,
11:36:02 PM,401,EUR_USD,buy,9125,1.09597,,,
11:42:02 PM,407,EUR_USD,buy,9124,1.09614,,,
11:48:02 PM,413,EUR_USD,buy,9124,1.09609,,,Average Price
11:54:02 PM,419,EUR_USD,buy,9124,1.09609,,,1.095819
12:00:03 AM,425,EUR_USD,buy,9125,1.09604,,,
12:06:03 AM,431,EUR_USD,buy,9127,1.09576,,,
12:12:03 AM,437,EUR_USD,buy,9127,1.09576,,,
12:18:03 AM,443,EUR_USD,buy,9126,1.09586,,,
12:24:04 AM,449,EUR_USD,buy,9127,1.09577,,,
12:30:04 AM,455,EUR_USD,buy,9127,1.0958,,,
12:36:04 AM,461,EUR_USD,buy,9127,1.09577,,,
12:42:04 AM,467,EUR_USD,buy,9127,1.09574,,,
12:48:04 AM,473,EUR_USD,buy,9127,1.09574,,,
12:54:05 AM,479,EUR_USD,buy,9126,1.09586,,,
Execution Set 4,,,,,,,,
3:00:03 AM,485,EUR_USD,buy,9118,1.09679,,,
3:06:03 AM,491,EUR_USD,buy,9118,1.0968,,,
3:12:03 AM,497,EUR_USD,buy,9123,1.09625,,,
3:18:03 AM,503,EUR_USD,buy,9132,1.09509,,,
3:24:04 AM,509,EUR_USD,buy,9127,1.09576,,,
3:30:04 AM,515,EUR_USD,buy,9127,1.09574,,,
3:36:04 AM,521,EUR_USD,buy,9126,1.09579,,,
3:42:04 AM,527,EUR_USD,buy,9127,1.09573,,,
3:48:04 AM,533,EUR_USD,buy,9128,1.09565,,,
3:54:05 AM,539,EUR_USD,buy,9126,1.0959,,,
4:00:05 AM,545,EUR_USD,buy,9124,1.09608,,,
4:06:05 AM,551,EUR_USD,buy,9127,1.09576,,,Average Price
4:12:05 AM,557,EUR_USD,buy,9120,1.09656,,,1.096420357
4:18:05 AM,563,EUR_USD,buy,9115,1.09722,,,
4:24:06 AM,569,EUR_USD,buy,9112,1.09748,,,
4:30:06 AM,575,EUR_USD,buy,9114,1.09733,,,
4:36:06 AM,581,EUR_USD,buy,9115,1.09718,,,
4:42:06 AM,587,EUR_USD,buy,9116,1.09705,,,
4:48:06 AM,593,EUR_USD,buy,9115,1.09717,,,
4:54:07 AM,599,EUR_USD,buy,9113,1.09749,,,
5:00:07 AM,605,EUR_USD,buy,9115,1.09721,,,
5:06:07 AM,611,EUR_USD,buy,9118,1.09677,,,
5:12:07 AM,617,EUR_USD,buy,9124,1.09614,,,
5:18:07 AM,623,EUR_USD,buy,9124,1.09612,,,
5:24:08 AM,629,EUR_USD,buy,9124,1.09606,,,
5:30:08 AM,635,EUR_USD,buy,9126,1.09588,,,
5:36:08 AM,641,EUR_USD,buy,9123,1.09626,,,
5:42:08 AM,647,EUR_USD,buy,9121,1.09651,,,
